#separator:tab
#html:true
#tags column:3
El problema es que no me avisaron a tiempo.	The thing is, they didn't tell me in time.<br><span style="color:#888;font-size:0.85em">the thing is</span>	ingles-hablado set01
Depende de cuánta gente venga.	It depends on how many people show up.<br><span style="color:#888;font-size:0.85em">it depends on</span><br><span style="color:#888;font-size:0.8em">depends ON. Nunca 'depends of'.</span>	ingles-hablado set01
Déjame pensarlo un segundo.	Let me think for a second.<br><span style="color:#888;font-size:0.85em">let me think for a second</span>	ingles-hablado set01
Buena pregunta, nunca lo había pensado.	That's a good question — I'd never thought about it.<br><span style="color:#888;font-size:0.85em">that's a good question</span>	ingles-hablado set01
Lo que quiero decir es que no vale la pena.	What I'm trying to say is it's not worth it.<br><span style="color:#888;font-size:0.85em">what I'm trying to say is</span>	ingles-hablado set01
Te lo pongo así: nadie quedó contento.	Let me put it this way: nobody walked away happy.<br><span style="color:#888;font-size:0.85em">let me put it this way</span>	ingles-hablado set01
Iba a decir que sí, pero mejor no.	I was going to say yes, but I'd rather not.<br><span style="color:#888;font-size:0.85em">I was going to say</span>	ingles-hablado set01
Es raro, ¿me entiendes?	It's weird, you know what I mean?<br><span style="color:#888;font-size:0.85em">you know what I mean</span>	ingles-hablado set01
De hecho, ya lo había hecho antes.	As a matter of fact, I'd already done it before.<br><span style="color:#888;font-size:0.85em">as a matter of fact</span>	ingles-hablado set01
Espérate un segundo, déjame revisar.	Hang on a second, let me check.<br><span style="color:#888;font-size:0.85em">hang on a second</span>	ingles-hablado set01
No creo que sea buena idea.	I don't think it's a good idea.<br><span style="color:#888;font-size:0.85em">I don't think it's</span><br><span style="color:#888;font-size:0.8em">El inglés niega el verbo principal: 'I don't think it is', no 'I think it isn't'.</span>	ingles-hablado set02
Que yo sepa, todavía no han decidido.	As far as I know, they haven't decided yet.<br><span style="color:#888;font-size:0.85em">as far as I know</span>	ingles-hablado set02
Sinceramente, no me convenció.	To be honest, it didn't convince me.<br><span style="color:#888;font-size:0.85em">to be honest</span>	ingles-hablado set02
Yo diría que unas tres semanas.	I'd say about three weeks.<br><span style="color:#888;font-size:0.85em">I'd say</span>	ingles-hablado set02
Me parece que se está complicando solo.	It seems to me that he's making it harder than it is.<br><span style="color:#888;font-size:0.85em">it seems to me that</span>	ingles-hablado set02
No tengo ni idea de dónde quedó.	I have no idea where it ended up.<br><span style="color:#888;font-size:0.85em">I have no idea</span>	ingles-hablado set02
No estoy tan seguro de eso.	I'm not so sure about that.<br><span style="color:#888;font-size:0.85em">I'm not so sure about that</span>	ingles-hablado set02
Por mi parte, el tema está cerrado.	As far as I'm concerned, the matter is closed.<br><span style="color:#888;font-size:0.85em">as far as I'm concerned</span>	ingles-hablado set02
No hay duda de que funcionó.	There's no doubt that it worked.<br><span style="color:#888;font-size:0.85em">there's no doubt that</span>	ingles-hablado set02
Yo tiendo a pensar que es al revés.	I tend to think it's the other way around.<br><span style="color:#888;font-size:0.85em">I tend to think</span>	ingles-hablado set02
Lo que quiero decir es otra cosa.	What I mean is something different.<br><span style="color:#888;font-size:0.85em">what I mean is</span>	ingles-hablado set03
En otras palabras, no van a pagar.	In other words, they're not going to pay.<br><span style="color:#888;font-size:0.85em">in other words</span>	ingles-hablado set03
¿Se entiende lo que digo?	Does that make sense?<br><span style="color:#888;font-size:0.85em">does that make sense</span>	ingles-hablado set03
Tiene que ver con cómo lo plantearon.	It has to do with the way they framed it.<br><span style="color:#888;font-size:0.85em">it has to do with</span>	ingles-hablado set03
Fue en marzo, o más bien a finales de febrero.	It was in March — or rather, late February.<br><span style="color:#888;font-size:0.85em">or rather</span>	ingles-hablado set03
Lo que estoy diciendo es que nadie revisó.	The point I'm making is that nobody checked.<br><span style="color:#888;font-size:0.85em">the point I'm making is</span>	ingles-hablado set03
Dicho de otra manera, salió más caro.	To put it another way, it ended up costing more.<br><span style="color:#888;font-size:0.85em">to put it another way</span>	ingles-hablado set03
¿Cómo lo digo? No fue exactamente un error.	How can I say this — it wasn't exactly a mistake.<br><span style="color:#888;font-size:0.85em">how can I say this</span>	ingles-hablado set03
No sé cómo explicarlo, pero se sentía mal.	I don't know how to explain it, but it felt wrong.<br><span style="color:#888;font-size:0.85em">I don't know how to explain it</span>	ingles-hablado set03
Es un poco incómodo, si me entiendes.	It's a little awkward, if you know what I mean.<br><span style="color:#888;font-size:0.85em">if you know what I mean</span>	ingles-hablado set03
No tienes que venir si no quieres.	You don't have to come if you don't want to.<br><span style="color:#888;font-size:0.85em">you don't have to</span><br><span style="color:#888;font-size:0.8em">'You mustn't' = está prohibido. 'You don't have to' = no es obligatorio. No son lo mismo.</span>	ingles-hablado set04
Lo único que tienes que hacer es avisarme.	All you have to do is let me know.<br><span style="color:#888;font-size:0.85em">all you have to do is</span>	ingles-hablado set04
Se supone que debo entregarlo hoy.	I'm supposed to hand it in today.<br><span style="color:#888;font-size:0.85em">I'm supposed to</span>	ingles-hablado set04
Mejor me voy ya.	I'd better get going.<br><span style="color:#888;font-size:0.85em">I'd better</span>	ingles-hablado set04
Tengo que salir en diez minutos.	I've got to leave in ten minutes.<br><span style="color:#888;font-size:0.85em">I've got to</span>	ingles-hablado set04
Ya que estoy aquí, aprovecho y lo hago.	Since I'm here, I might as well do it.<br><span style="color:#888;font-size:0.85em">I might as well</span>	ingles-hablado set04
Deberías decírselo tú mismo.	You ought to tell him yourself.<br><span style="color:#888;font-size:0.85em">you ought to</span>	ingles-hablado set04
Necesito conseguir eso antes del viernes.	I need to get that before Friday.<br><span style="color:#888;font-size:0.85em">I need to get</span>	ingles-hablado set04
No hace falta que te disculpes.	There's no need to apologize.<br><span style="color:#888;font-size:0.85em">there's no need to</span>	ingles-hablado set04
Se suponía que esto iba a ser rápido.	This was meant to be quick.<br><span style="color:#888;font-size:0.85em">it was meant to be</span>	ingles-hablado set04
Antes trabajaba de noche.	I used to work nights.<br><span style="color:#888;font-size:0.85em">I used to</span><br><span style="color:#888;font-size:0.8em">Hábito pasado que ya no ocurre. Siempre + infinitivo.</span>	ingles-hablado set05
Ya estoy acostumbrado.	I'm used to it by now.<br><span style="color:#888;font-size:0.85em">I'm used to it</span><br><span style="color:#888;font-size:0.8em">El par trampa: 'used to + infinitivo' (hábito pasado) vs 'be used to + -ing' (estar acostumbrado).</span>	ingles-hablado set05
Voy a intentarlo otra vez.	I'm going to give it another shot.<br><span style="color:#888;font-size:0.85em">I'm going to</span>	ingles-hablado set05
Lo que vamos a hacer es empezar por lo fácil.	What we're going to do is start with the easy part.<br><span style="color:#888;font-size:0.85em">what we're going to do is</span>	ingles-hablado set05
Estoy a punto de terminar.	I'm about to finish.<br><span style="color:#888;font-size:0.85em">I'm about to</span>	ingles-hablado set05
No pude llegar a tiempo.	I wasn't able to get there on time.<br><span style="color:#888;font-size:0.85em">I wasn't able to</span>	ingles-hablado set05
Es probable que llueva.	It's likely to rain.<br><span style="color:#888;font-size:0.85em">it's likely to</span>	ingles-hablado set05
Tarde o temprano se va a dar cuenta.	He's bound to find out sooner or later.<br><span style="color:#888;font-size:0.85em">he's bound to</span>	ingles-hablado set05
Logré arreglarlo al final.	I managed to fix it in the end.<br><span style="color:#888;font-size:0.85em">I managed to</span><br><span style="color:#888;font-size:0.8em">'Manage to' = lograr algo con esfuerzo. No es 'manejar'.</span>	ingles-hablado set05
No me puedo dar el lujo de perder otro día.	I can't afford to lose another day.<br><span style="color:#888;font-size:0.85em">I can't afford to</span>	ingles-hablado set05
Eran como veinte personas, o algo así.	There were about twenty people, or something like that.<br><span style="color:#888;font-size:0.85em">or something like that</span>	ingles-hablado set06
Traje cuadernos, lápices y cosas así.	I brought notebooks, pencils and things like that.<br><span style="color:#888;font-size:0.85em">and things like that</span>	ingles-hablado set06
Reuniones, informes, ese tipo de cosas.	Meetings, reports, that sort of thing.<br><span style="color:#888;font-size:0.85em">that sort of thing</span>	ingles-hablado set06
Estuvo como raro.	It was kind of weird.<br><span style="color:#888;font-size:0.85em">kind of</span>	ingles-hablado set06
Fue un poco un desastre.	It was a bit of a mess.<br><span style="color:#888;font-size:0.85em">a bit of a</span>	ingles-hablado set06
Más o menos lo mismo.	More or less the same thing.<br><span style="color:#888;font-size:0.85em">more or less</span>	ingles-hablado set06
Como una hora.	An hour or so.<br><span style="color:#888;font-size:0.85em">an hour or so</span>	ingles-hablado set06
Un par de días.	A couple of days.<br><span style="color:#888;font-size:0.85em">a couple of</span>	ingles-hablado set06
Llámalo error, descuido, o lo que sea.	Call it a mistake, an oversight, or whatever.<br><span style="color:#888;font-size:0.85em">or whatever</span>	ingles-hablado set06
Bastante gente se quejó.	Quite a lot of people complained.<br><span style="color:#888;font-size:0.85em">quite a lot of</span>	ingles-hablado set06
Al final terminé quedándome.	I ended up staying.<br><span style="color:#888;font-size:0.85em">I ended up</span><br><span style="color:#888;font-size:0.8em">Siempre + -ing.</span>	ingles-hablado set07
Se me ocurrió una idea mejor.	I came up with a better idea.<br><span style="color:#888;font-size:0.85em">I came up with</span>	ingles-hablado set07
Resultó que estaba equivocado.	It turned out I was wrong.<br><span style="color:#888;font-size:0.85em">it turned out</span>	ingles-hablado set07
Me encontré con esto por casualidad.	I came across this by accident.<br><span style="color:#888;font-size:0.85em">I came across</span>	ingles-hablado set07
Al final todo salió bien.	It all worked out in the end.<br><span style="color:#888;font-size:0.85em">it worked out</span>	ingles-hablado set07
Ya lo solucioné.	I sorted it out.<br><span style="color:#888;font-size:0.85em">I sorted it out</span>	ingles-hablado set07
Todavía no entiendo cómo funciona.	I still haven't figured out how it works.<br><span style="color:#888;font-size:0.85em">to figure out</span>	ingles-hablado set07
Me enteré ayer.	I found out yesterday.<br><span style="color:#888;font-size:0.85em">I found out</span>	ingles-hablado set07
Alguien señaló que faltaba una parte.	Someone pointed out that a part was missing.<br><span style="color:#888;font-size:0.85em">someone pointed out</span>	ingles-hablado set07
Se nos acabó el tiempo.	We ran out of time.<br><span style="color:#888;font-size:0.85em">we ran out of</span>	ingles-hablado set07
Sigamos con lo nuestro.	Let's get on with it.<br><span style="color:#888;font-size:0.85em">let's get on with it</span>	ingles-hablado set08
No pienso aguantar eso.	I'm not going to put up with that.<br><span style="color:#888;font-size:0.85em">to put up with</span>	ingles-hablado set08
Se salió con la suya.	He got away with it.<br><span style="color:#888;font-size:0.85em">he got away with it</span>	ingles-hablado set08
Después nos ponemos al día.	Let's catch up later.<br><span style="color:#888;font-size:0.85em">to catch up</span>	ingles-hablado set08
Me cuesta seguirle el ritmo.	I struggle to keep up with him.<br><span style="color:#888;font-size:0.85em">to keep up with</span>	ingles-hablado set08
Lo voy a averiguar.	I'll look into it.<br><span style="color:#888;font-size:0.85em">I'll look into it</span>	ingles-hablado set08
Tengo ganas de que llegue.	I'm looking forward to it.<br><span style="color:#888;font-size:0.85em">looking forward to</span><br><span style="color:#888;font-size:0.8em">Seguido de -ing, no de infinitivo: 'looking forward to seeing you'.</span>	ingles-hablado set08
Yo me encargo.	I'll take care of it.<br><span style="color:#888;font-size:0.85em">I'll take care of it</span>	ingles-hablado set08
Hay que deshacerse de eso.	We need to get rid of that.<br><span style="color:#888;font-size:0.85em">to get rid of</span>	ingles-hablado set08
Todavía no me decido.	I haven't made up my mind yet.<br><span style="color:#888;font-size:0.85em">to make up my mind</span>	ingles-hablado set08
Ya veo por dónde vas.	I see what you mean.<br><span style="color:#888;font-size:0.85em">I see what you mean</span>	ingles-hablado set09
Tienes razón en eso.	You've got a point there.<br><span style="color:#888;font-size:0.85em">you've got a point</span>	ingles-hablado set09
Te entiendo, pero no es tan simple.	I take your point, but it's not that simple.<br><span style="color:#888;font-size:0.85em">I take your point, but</span>	ingles-hablado set09
Está bien, lo acepto.	Fair enough.<br><span style="color:#888;font-size:0.85em">fair enough</span>	ingles-hablado set09
No es eso lo que estoy diciendo.	That's not really the point.<br><span style="color:#888;font-size:0.85em">that's not really the point</span>	ingles-hablado set09
Totalmente de acuerdo.	I couldn't agree more.<br><span style="color:#888;font-size:0.85em">I couldn't agree more</span>	ingles-hablado set09
Hasta cierto punto, sí.	To a certain extent, yes.<br><span style="color:#888;font-size:0.85em">to a certain extent</span>	ingles-hablado set09
Prefiero hacerlo mañana.	I'd rather do it tomorrow.<br><span style="color:#888;font-size:0.85em">I'd rather</span>	ingles-hablado set09
¿Te importaría repetirlo?	Would you mind saying that again?<br><span style="color:#888;font-size:0.85em">would you mind</span><br><span style="color:#888;font-size:0.8em">Seguido de -ing. Y responder 'no' significa que sí aceptas.</span>	ingles-hablado set09
Déjalo así, no importa.	Never mind, it doesn't matter.<br><span style="color:#888;font-size:0.85em">never mind</span>	ingles-hablado set09
En cuanto a plata, no hay problema.	When it comes to money, there's no problem.<br><span style="color:#888;font-size:0.85em">when it comes to</span>	ingles-hablado set10
Como te decía, no alcanzó el tiempo.	As I was saying, there wasn't enough time.<br><span style="color:#888;font-size:0.85em">as I was saying</span>	ingles-hablado set10
Volviendo a lo que dijiste antes...	Going back to what you said earlier…<br><span style="color:#888;font-size:0.85em">going back to what you said</span>	ingles-hablado set10
Por cierto, ya llegó.	By the way, it already arrived.<br><span style="color:#888;font-size:0.85em">by the way</span>	ingles-hablado set10
Eso me recuerda algo.	That reminds me of something.<br><span style="color:#888;font-size:0.85em">that reminds me</span>	ingles-hablado set10
Lo de este trabajo es que nunca sabes.	The thing about this job is you never know.<br><span style="color:#888;font-size:0.85em">the thing about it is</span>	ingles-hablado set10
A fin de cuentas, es decisión tuya.	At the end of the day, it's your call.<br><span style="color:#888;font-size:0.85em">at the end of the day</span>	ingles-hablado set10
Para no hacerte el cuento largo, no funcionó.	To cut a long story short, it didn't work.<br><span style="color:#888;font-size:0.85em">to cut a long story short</span>	ingles-hablado set10
Hablando de eso, ¿ya le avisaste?	Speaking of which, did you tell her?<br><span style="color:#888;font-size:0.85em">speaking of which</span>	ingles-hablado set10
Pasemos al siguiente punto.	Let's move on to the next point.<br><span style="color:#888;font-size:0.85em">let's move on to</span>	ingles-hablado set10
Por otro lado, sale más barato.	On the other hand, it's cheaper.<br><span style="color:#888;font-size:0.85em">on the other hand</span>	ingles-hablado set11
Aunque no le gustaba, lo hizo.	Even though he didn't like it, he did it.<br><span style="color:#888;font-size:0.85em">even though</span>	ingles-hablado set11
Aparte de eso, todo bien.	Apart from that, everything's fine.<br><span style="color:#888;font-size:0.85em">apart from that</span>	ingles-hablado set11
Prefiero esperar antes que arriesgarme.	I'd rather wait than take the risk.<br><span style="color:#888;font-size:0.85em">rather than</span>	ingles-hablado set11
Fuimos el sábado en vez del viernes.	We went on Saturday instead of Friday.<br><span style="color:#888;font-size:0.85em">instead of</span>	ingles-hablado set11
Aunque, pensándolo bien, tampoco importa tanto.	But then again, it doesn't really matter that much.<br><span style="color:#888;font-size:0.85em">but then again</span>	ingles-hablado set11
En cierto modo, tenía razón.	In a way, he was right.<br><span style="color:#888;font-size:0.85em">in a way</span>	ingles-hablado set11
Ni siquiera terminé el primero, mucho menos el segundo.	I didn't even finish the first one, let alone the second.<br><span style="color:#888;font-size:0.85em">let alone</span><br><span style="color:#888;font-size:0.8em">Refuerza una negación previa. No tiene equivalente directo en español.</span>	ingles-hablado set11
Digo prestado, no regalado.	I mean borrowed, as opposed to given.<br><span style="color:#888;font-size:0.85em">as opposed to</span>	ingles-hablado set11
No solo llegó tarde, sino que ni avisó.	Not only did he show up late, but he didn't even call.<br><span style="color:#888;font-size:0.85em">not only… but</span><br><span style="color:#888;font-size:0.8em">'Not only' al inicio invierte el orden: 'did he show up'.</span>	ingles-hablado set11
El otro día me lo encontré.	I ran into him the other day.<br><span style="color:#888;font-size:0.85em">the other day</span>	ingles-hablado set12
Para cuando llegué, ya se habían ido.	By the time I got there, they'd already left.<br><span style="color:#888;font-size:0.85em">by the time</span>	ingles-hablado set12
Apenas sepa algo, te aviso.	As soon as I know something, I'll let you know.<br><span style="color:#888;font-size:0.85em">as soon as</span>	ingles-hablado set12
Mientras no llueva, vamos.	As long as it doesn't rain, we'll go.<br><span style="color:#888;font-size:0.85em">as long as</span>	ingles-hablado set12
De vez en cuando lo veo.	I see him from time to time.<br><span style="color:#888;font-size:0.85em">from time to time</span>	ingles-hablado set12
Desde entonces no ha vuelto.	He hasn't come back ever since.<br><span style="color:#888;font-size:0.85em">ever since</span>	ingles-hablado set12
Ya no trabaja ahí.	He no longer works there.<br><span style="color:#888;font-size:0.85em">no longer</span>	ingles-hablado set12
Por ahora déjalo así.	Leave it like that for the time being.<br><span style="color:#888;font-size:0.85em">for the time being</span>	ingles-hablado set12
Mientras tanto, sigamos con lo otro.	In the meantime, let's carry on with the other thing.<br><span style="color:#888;font-size:0.85em">in the meantime</span>	ingles-hablado set12
Y ya, eso es todo.	And that's about it.<br><span style="color:#888;font-size:0.85em">that's about it</span>	ingles-hablado set12
